Flipkart_Title,Flipkart_Price,Amazon_Title,Amazon_price,Amazon_link,Price_Comparison
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)","₹15,999","Motorola G96
                                        144Hz 3D Curved pOLED (ASHLEIGHBLUE, 8GB RAM, 128GB Storage)","₹17,450",https://www.amazon.in/Motorola-Ashleigh-Blue-128GB-Storage/dp/B0FHGD6K6K/ref=sr_1_2?dib=eyJ2IjoiMSJ9.wbCOCv1b242lCA-JRyXu7PKAPrQhLTHGK5Mh0vgnOT11s07hGHPPiyiqIRtpY44cqLIWe01SgLYOYhJ4-Ysnr-geVqLRUY5xz3k2QAhMY8O7rxiFgLqiW17k7fsQ1deo5I3UcLeXsi0daAKglaLe25h51HVX-7Q5GjoimuGkEi8jLVkrpFQI6nRS0l2pqFi6e8lEjZMby3D900JCAkAn7ND1-rzIfkfAXE9wOFeo15I.LHU3h8SeeTTi4ieCBsdw3Dp3TY_wskI90XjZvfkuEVA&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Ashleigh+Blue%2C+128+GB%29&nsdOptOutParam=true&qid=1760433244&sr=8-2,Flipkart cheaper by ₹1451.00
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)","₹15,999","Motorola G96
                                        (PANTONE Greener Pastures, 8GB RAM, 128GB Storage)","₹17,250",https://www.amazon.in/Motorola-Snapdragon-Processor-5000mAh-Pastures/dp/B0FHGHK77M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.5VtnbqHZpcM3SDKFkFAW0mqvWBDCgeY38NXwn6kiJrmgUXxO3y9rvrnW3tm0mRcmDb3rFAo9U3pVZw5zEvMJTe9HVhE-1tUwh-k5Jsx7PILlCiOmZd9r6RYCv6IqHkfyXio0fBQ83u8fnkLGS9pVyIvE9156CX74iAHnOTM5g_AjLVkrpFQI6nRS0l2pqFi6XGAf4wkL-HkQhlvm79hLHbEFoQqd8btbLpzFzM1qnBc.PGuzunUcLxLIWgmc6U-e6B-w-leiVxrOAm1NcKfQuns&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Greener+Pastures%2C+128+GB%29&nsdOptOutParam=true&qid=1760433258&sr=8-1,Flipkart cheaper by ₹1251.00
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)","₹17,999","Motorola Moto G96 5G AI Smartphone (Pantone Ashleigh Blue, 8GB RAM+ 256GB Storage) | Snapdragon 7s Gen 2 Processor | Curved pOLED Display | Dual SIM | 5500 mAh Battery","₹18,400",https://www.amazon.in/Motorola-Ashleigh-Blue-256GB-Storage/dp/B0FHGGW5PJ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.DOMMdlSRSPEQOfD723vv6XzzP9OGWzwWWZUKinQbuX6o8jKlKtJn6RZyQst9R2F6vaul3rldJ3utI1WHEo0Cyv-mlcxFUpl8L1pdl-IAGajLxW9hIdLmlrlG5dV9Ns0wZ4kXO3PNjMJfBhHNSCz8tFK2xSvygkWQ9jpgk0uwxk4J8RTCZkUobIHKa5GbtqHUXUg7FJnvmu9zeDNOst_IvNWlZ90MnxfDSrphrEDPpUw.47TAh8hrrDuhV4B_wtU1Us9cvA2wL2xhhs3tViBcamg&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Ashleigh+Blue%2C+256+GB%29&nsdOptOutParam=true&qid=1760433274&sr=8-3,Flipkart cheaper by ₹401.00
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 256 GB)","₹17,999","Motorola G96 5G (Cattleya Orchid, 8 GB RAM, 128 GB Storage) | 144 Hz 3D Curved pOLED | 50 MP OIS + 32 MP Selfie | Snapdragon 7s Gen 2 | 5,500 mAh | 33 W TurboPower Fast Charge | IP68 Water Resistance","₹17,275",https://www.amazon.in/Motorola-Cattleya-Orchid-128GB-Storage/dp/B0FHGHFHLT/ref=sr_1_2?dib=eyJ2IjoiMSJ9.BsMTTpehkwxkOR9GaNaIqrjZUTTZXTv2rcsRKPrAvYnogi1wEhC2WhvZv6hxLOXGwR788KPxRlz7NxIy9ltbbADnREs8OjTGxrTth6OHAghisqwc9t5wuDLdA40FTc6AFEszZz8mJqCw3QnpaJx4AYi_Yep6uI_96hLeYzxpWSLnnPdMB-wxy092Z75e8AwrUMQ2sEaQ0_0swmCinlfGexiNBfeeiTb2uly0-nuDr10.jX_742CDi_-upxIqZcwIHM3BwX2eIP0_vrPeZK_awqY&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Cattleya+Orchid%2C+256+GB%29&nsdOptOutParam=true&qid=1760433288&sr=8-2,Amazon Cheaper by ₹724.00
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)","₹15,999","Motorola G96 5G (Cattleya Orchid, 8 GB RAM, 128 GB Storage) | 144 Hz 3D Curved pOLED | 50 MP OIS + 32 MP Selfie | Snapdragon 7s Gen 2 | 5,500 mAh | 33 W TurboPower Fast Charge | IP68 Water Resistance","₹17,275",https://www.amazon.in/Motorola-Cattleya-Orchid-128GB-Storage/dp/B0FHGHFHLT/ref=sr_1_2?dib=eyJ2IjoiMSJ9.BsMTTpehkwxkOR9GaNaIqtDJuZKocYSaIranW4pQ2T9GSfTixxBOD_lU0eseD1OoVCDdxlry_9TDqeTqg27CPu9HVhE-1tUwh-k5Jsx7PIJt4oZLxoFPww-5CsqJK27dn83foCkwx6A4K31m41_5jP9RFZNigSAeF3FSX0Hm7-TepMIZjL4xejz6LgKB2nQIndEol6xHKa5Ilg94MM8Vf_UIW1ixow5HwU_ADDqa-l4.u5LXbxKDvkNwKTc0CwElVDt9SBCiDlNaoNf5lYtWCY0&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Cattleya+Orchid%2C+128+GB%29&nsdOptOutParam=true&qid=1760433304&sr=8-2,Flipkart cheaper by ₹1276.00
"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)","₹15,999","Motorola G96 144Hz 3D Curved pOLED (ASHLEIGHBLUE, 8GB RAM, 128GB Storage)","₹17,450",https://www.amazon.in/Motorola-Ashleigh-Blue-128GB-Storage/dp/B0FHGD6K6K/ref=sr_1_1?dib=eyJ2IjoiMSJ9.wbCOCv1b242lCA-JRyXu7NDJuZKocYSaIranW4pQ2T90ZcllalwryaxmqsQkCKozej0M1oBQHGF0ZJjsGrfmZLrscNSaj9_hdFOu3sqyOF60Cw4gFvkwjEDBr-SV6pcMAOsJGgVFlxH-6RMl-PnlJLesmhlaiJgy4ZcEiqknNk45zni9REM0nc0b8p2hh_xdCAT-Efd4Scgov68rIzHEHnr2uTsoSF24hkszo6pbbzU.9gicwQCnnLNse14HenkjKaVZAlQJDekR-hE16zohaBs&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Dresden+Blue%2C+128+GB%29&nsdOptOutParam=true&qid=1760433318&sr=8-1,Flipkart cheaper by ₹1451.00
"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)","₹17,999","Motorola G96 (PANTONE Greener Pastures, 8GB RAM, 128GB Storage)","₹17,250",https://www.amazon.in/Motorola-Snapdragon-Processor-5000mAh-Pastures/dp/B0FHGHK77M/ref=sr_1_2?dib=eyJ2IjoiMSJ9.5VtnbqHZpcM3SDKFkFAW0mqvWBDCgeY38NXwn6kiJrlqlGykvEmQvDKwX0hhfIzKz07QWXNFGDPOhDj4bw_BPYafyUvFH_XEj-OKt1QOTCVJQU2Dsf4bbRTrHocSTdyXL6yoWSvbGrjE6vt_WZiN3Wz3RCbnmz98fNA6h-MKpv9w4-W00dqFbjgNPSIFPfpTlMHiSPebbcwbvPrZA4z3Oxtjx39vvu9JGli_XeUT4T8.D2ODIkMzBRHS45-n0GYQRFHFUUHYK8b9dDCohrz4ibc&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Greener+Pastures%2C+256+GB%29&nsdOptOutParam=true&qid=1760433335&sr=8-2,Amazon Cheaper by ₹749.00
"MOTOROLA G96 5G (Pantone Dresden Blue, 256 GB)","₹17,999","Motorola g96 5G (Pantone Greener Pastures, 8GB RAM, 256GB Storage)","₹18,340",https://www.amazon.in/Motorola-Greener-Pastures-128GB-Storage/dp/B0FHGCG292/ref=sr_1_2?dib=eyJ2IjoiMSJ9.JEbT-8uG1Qbh4CSd_ng3AzSMELAqR6gIulMFnOR5qu4SyUwumPrC7Jo1-ZURsO_cwilmPSD0SXU9rowAtLGvNzB-Bl1nRdVhNEw6pXpF3kpisqwc9t5wuDLdA40FTc6AwAavOxEQ0Vc49ralbrkRr3vMMy2Q1Ag0gr9BYSVElZ_WZmmv6OeE8hSEBb8qhK3bOimj1KVsr7pr3m_KyInBFeHjiAWXgqH9SO1sGudf7do.GoP4d6IvInQEbvEZE9kBugBMQL3ZxaDCF1Imb3CZFsc&dib_tag=se&keywords=MOTOROLA+G96+5G+%28Pantone+Dresden+Blue%2C+256+GB%29&nsdOptOutParam=true&qid=1760433350&sr=8-2,Flipkart cheaper by ₹341.00
DSCASE Back Camera Lens Glass Protector for MOTOROLA G96 5G [RING],₹219,Ayra (Pack of 3) Back Camera Lens Protector Compatible With Motorola G96 5g Anti Shock/Anti-Scratch/Clear/Camera Tempered Glass with easy installation kit,₹140,https://www.amazon.in/Compatible-Motorola-G96-Anti-Scratch-installation/dp/B0FHWPT5PP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.t8InOM3cAogi9oZ07DwNRJY66rQgo22SU4IHuzoR-LAzVVrAqV37XLtn7gTd4NYiADUFksVgnkgFUeyrISNCpaBJ9pBV3k6zEatyTtzx2F4UBdc92hdhxP9Lr43ad6hqRH3oqTt2E8Iq77n7rcRNy48BXCF9c85l7MzlmSVEiyKykwU8xz_cLK5wlVoYJ19mO3gGpwpS1Ye9adD1C1mvJym7PEHNToCh8tOTryYPiz0.3Q_6xex8USTg3xahGFIZAVJzeMlb1n6mJfYEqnGHgPg&dib_tag=se&keywords=DSCASE+Back+Camera+Lens+Glass+Protector+for+MOTOROLA+G96+5G+%5BRING%5D&nsdOptOutParam=true&qid=1760433366&sr=8-3,Amazon Cheaper by ₹79.00
"MOTOROLA Razr 60 Ultra (Pantone Mountain Trail, 512 GB)","₹89,997","Motorola Razr 60 Ultra (Pantone Mountain Trail, 16 GB RAM, 512 GB Storage) | Moto AI | Snapdragon® 8 Elite Mobile Platform | 6.9 AMOLED 165Hz Display | 50 MP + 50 MP + 50MP Triple Camera, Gold","₹79,999",https://www.amazon.in/Motorola-60-Ultra-Mountain-Snapdragon%C2%AE/dp/B0F5HTQZDG/ref=sr_1_1?dib=eyJ2IjoiMSJ9.a65jI_j2v73xGH8aedEsx30zlJwgaKRB6jG-g2ooaUgUtJkFH5y-LjR-jpRgGwoElIV8cOBqEYNUw1brlkuUPRnS7Wwbf5Ju5s4eb0miNGwDSdM81ifoISRS6GkbaMEHanPCKa1LgJWl4q-skmkEyOoGxfu-RlZ8Um6eBkM2VF1ug1G85eqLLqe1FgDXmX86beh5b-XlxP8djsBXk0nVhOwfVj_T03q_i8L_-ljRZVg.TA_09tB11pTjFkNg0lE-dX3SjQYByzQ9BLvCEp-0IO0&dib_tag=se&keywords=MOTOROLA+Razr+60+Ultra+%28Pantone+Mountain+Trail%2C+512+GB%29&nsdOptOutParam=true&qid=1760433385&sr=8-1,Amazon Cheaper by ₹9998.00
